Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\New folder\HEBoard\HEBoard_ver4\HEBoard_Ver4\Project Outputs\Assembly\Pick Place\_PCB PN_.csv

========================================================================================================================
File Design Information:

Date:       05/04/24
Time:       00:42
Revision:   5f001cf9b8c8c915b549f733651b659468359c84
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P1","61300211121","TopLayer","61300211121","96.3709","58.0136","270",""
"U3","SS39ET","BottomLayer","CHRY-MX1A-11NW_V","100.0000","20.0000","0","analog Hall Effect Sensor 1.5 mA 2.7 - 6.5 V dc | Honeywell SS39ET"
"U2","SS39ET","BottomLayer","CHRY-MX1A-11NW_V","119.0500","20.0000","0","analog Hall Effect Sensor 1.5 mA 2.7 - 6.5 V dc | Honeywell SS39ET"
"Y1","12MHz","TopLayer","XTAL_ABM8G-12.000MHZ-4Y-T3","115.6716","39.3954","0","12 MHz Â±30ppm Crystal 10pF 120 Ohms 4-SMD, No Lead"
"U","NCP1117LPST33T3G","BottomLayer","SOT230P700X175-4N","124.3584","62.2300","0","Linear Voltage Regulator IC 1 Output 1A SOT-223"
"U8","IC OPAMP GP 1 CIRCUIT SOT23-5","BottomLayer","SOT_23-5","104.4160","32.8780","180","General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5"
"U7","IC OPAMP GP 1 CIRCUIT SOT23-5","BottomLayer","SOT_23-5","95.0790","32.8780","180","General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5"
"U6","IC OPAMP GP 1 CIRCUIT SOT23-5","BottomLayer","SOT_23-5","123.4660","32.8778","180","General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5"
"U5","IC OPAMP GP 1 CIRCUIT SOT23-5","BottomLayer","SOT_23-5","114.5794","32.8780","180","General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5"
"U4","W25Q128JVSIQ","TopLayer","SOIC127P790X216-8N","106.6292","57.7596","270","FLASH - NOR Memory IC 128Mb (16M x 8) SPI - Quad I/O, QPI, DTR 133 MHz 8-SOIC"
